NAME_1,作付面積（ha）,10a当たり収量(kg),収穫量(t),出荷量(t)
Hokkaido,101,"1,860","1,880","1,760"
Aomori,87,"1,440","1,250","1,050"
Iwate,0,0,0,0
Miyagi,131,"3,540","4,640","4,250"
Akita,0,0,0,0
Yamagata,0,0,0,0
Fukushima,107,"2,110","2,260","2,000"
Ibaraki,235,"3,740","8,790","8,420"
Tochigi,518,"4,380","22,700","21,300"
Gunma,97,"2,630","2,550","2,400"
Saitama,97,"3,180","3,080","2,760"
Chiba,215,"2,940","6,320","5,970"
Tokyo,0,0,0,0
Kanagawa,0,0,0,0
Niigata,97,"1,340","1,300","1,150"
Toyama,0,0,0,0
Ishikawa,0,0,0,0
Fukui,0,0,0,0
Yamanashi,0,0,0,0
Nagano,0,0,0,0
Gifu,112,"2,470","2,770","2,210"
Shizuoka,292,"3,570","10,400","9,720"
Aichi,260,"3,990","10,400","9,850"
Mie,69,"2,610","1,800","1,680"
Shiga,0,0,0,0
Kyoto,0,0,0,0
Osaka,0,0,0,0
Hyogo,162,"1,030","1,670","1,060"
Nara,101,"2,270","2,290","2,090"
Wakayama,0,0,0,0
Tottori,0,0,0,0
Shimane,0,0,0,0
Okayama,0,0,0,0
Hiroshima,0,0,0,0
Yamaguchi,101,"2,270","2,290","1,900"
Tokushima,0,0,0,0
Kagawa,85,"3,700","3,150","2,970"
Ehime,76,"3,250","2,470","2,250"
Kouchi,0,0,0,0
Fukuoka,435,"3,780","16,400","15,600"
Saga,175,"4,320","7,560","6,920"
Nagasaki,268,"3,930","10,500","10,100"
Kumamoto,305,"4,000","12,200","11,500"
Oita,0,0,0,0
Miyazaki,72,"3,470","2,500","2,350"
Kagoshima,0,0,0,0
Okinawa,0,0,0,0
