NAME_1,S,10a,H,Ship
Hokkaido,0,0,0,0
Aomori,0,0,0,0
Iwate,0,0,0,0
Miyagi,0,0,0,0
Akita,0,0,0,0
Yamagata,0,0,0,0
Fukushima,0,575,2,1
Ibaraki,15,660,99,92
Tochigi,3,339,10,8
Gunma,5,809,40,31
Saitama,16,894,143,125
Chiba,100,905,905,844
Tokyo,9,733,66,58
Kanagawa,1080,1370,14800,13700
Niigata,5,778,39,32
Toyama,2,714,15,11
Ishikawa,0,1200,5,4
Fukui,24,788,189,120
Yamanashi,0,585,1,0
Nagano,0,0,0,0
Gifu,75,1870,1400,1230
Shizuoka,4990,2400,119800,108600
Aichi,1180,2400,28300,25900
Mie,1020,1860,19000,16800
Shiga,0,0,0,0
Kyoto,41,1000,410,340
Osaka,692,1850,12800,11400
Hy?go,161,1550,2500,2060
Nara,44,1110,488,387
Wakayama,6850,2440,167100,151000
Tottori,0,0,0,0
Shimane,4,730,29,23
Okayama,102,919,937,717
Hiroshima,1720,1210,20800,17800
Yamaguchi,668,1050,7010,6200
Tokushima,706,1890,13300,11900
Kagawa,1000,1170,11700,10500
Ehime,5540,2030,112500,102200
Kochi,287,2250,6460,5790
Fukuoka,1140,1760,20100,18900
Saga,1950,2300,44900,41200
Naoasaki,2690,1770,47600,41900
Kumamoto,3650,2260,82500,75200
Oita,669,1700,11400,9160
Miyazaki,539,1500,8090,7060
Kagoshima,824,1230,10100,8450
Okinawa,35,851,298,282
